Kenya,26761,13617,12044,1349
Mozambique,17313,7256,5792,894
Rwanda,6467,3190,2892,404
South Africa,21995,15516,18531,3268
Niger,14659,4983,3936,628
Nigeria,111556,46222,42718,5644
Senegal,8896,3934,3393,520
Sierra Leone,4093,1959,1691,234
Azerbaijan,3021,2550,3884,684
Tajikistan,4366,2435,2434,303
Bangladesh,59647,43528,52906,8608
India,487063,352078,450143,90720
Myanmar,18938,13291,18788,3393
Philippines,43384,27831,32326,6040
Brazil,60237,51253,80680,20389
Chile,4922,4541,7313,2340
Australia,6439,5251,9675,4134
New Zealand,1240,996,1797,789
The Russian Federation,33879,28152,61271,22633
Norway,1257,1103,2111,950
Sweden,2321,1970,3755,2053
The United Kingdom,15687,13266,26271,12663
Italy,10728,9469,26176,14089
Germany,15812,14819,34983,18171
The United States of America,82054,69147,124753,55049